year,CAP,CAP_W,RET_total,SPREAD_PC_median,FF30,EXCHCD,notPERMNO
2018,14413324.94425,15824793.96,-8.873164,1.6853266,Fin,1,64
2018,4677850.28592,4029492.0354199996,17.768373,1.9066635,Telcm,1,795
2018,1373221.27706,1157781.56328,18.450373,2.273109,Util,3,99
2018,4005402.04377,4435015.0,-6.1208825,2.1201391,Fin,3,50
2018,64219129.38,80128473.37494001,-15.1775875,2.580246,Telcm,3,151
2018,9987133.12,12351237.95,-18.756994,2.6535256,Fin,3,117
2018,15892468.9,17221133.580000002,-10.561079,3.1923766,BusEq,1,618
2018,8174575.74,10668017.7,-18.211266,2.082858,Whlsl,1,202
2018,323154.0,317933.82,1.6417251,0.90178573,Books,3,26
2018,421779.44133,441531.0,-3.6802573,1.1612101,Fin,3,145
2018,15931247.32,17234222.33439,-3.486947,1.9271947,Servs,1,171
2018,46557744.4615,60746711.35,-21.3476,1.5964367,Carry,1,136
2018,17870837.29881,13318391.66,29.950476,2.5072327,BusEq,1,308
2018,333395.14113,374088.11886,-5.0755386,1.5201725,Fin,3,61
2018,122564232.0,125590572.778,15.170873,1.8282058,Hlth,3,420
2018,5414585.0,4594468.0,22.063187,1.8803233,Servs,1,94
2018,746079172.5180299,860882486.88,-5.391564,1.7647698,BusEq,3,574
2018,31924365.000000004,22518353.0,36.551907,2.779383,Servs,1,303
2018,314939267.94,422974643.97,-25.711607,2.2746334,Servs,3,298
2018,1266670.58,1537171.5885899996,-17.102278,2.593071,Beer,3,130
2018,2704298.43,2497822.08,4.2742386,3.5720532,Other,3,526
2018,12749724.0,16238116.982,-20.782518,1.6570948,Hlth,1,138
2018,5430009.6000000015,8799209.09406,-44.301235,4.5362554,Other,3,402
2018,4491401.5200000005,6918314.550030001,-41.84314,4.323704,Other,3,652
2018,4288243.356149999,2524726.56,66.39392,4.323293,Other,3,659
2018,10965259.36,8396551.44,32.22055,2.4589567,Rtail,1,463
2018,97806850.56,116064381.6,-8.404405,1.4020864,Whlsl,1,9
2018,7039568.25,10555428.85929,-32.184002,2.2458293,Clths,1,398
2018,2714532.66,2834362.4400000004,-3.561444,2.1097612,Food,3,1
2018,103302613.98,142034855.22,-22.538145,1.4165294,Servs,1,181
2018,24111678.49,13938380.0,56.948208,2.8951983,Servs,3,333
2018,4200588.6000000015,5677952.58,-25.634008,1.6675829,Fin,1,162
2018,4932639.36,3303684.8000000007,42.228992,3.4583535,Servs,1,691
2018,9386616.6,12393583.75,-26.349447,3.0558734,Other,3,334
2018,1104183.0,2147547.5,-49.289955,2.5033157,Autos,1,464
2018,3420847.4,3454029.0,1.9127586,2.0245202,Fin,3,306
2018,6265584.09,5673700.590000003,7.986178,2.2401793,Servs,1,264
2018,3053225.3000000007,2744538.0,9.505211,2.680861,,1,266
2018,207873103.46,237782631.06,-9.776461,1.7117481,Oil,1,554
2018,3316578.87,3582389.2149500004,-46.995853,2.5054467,Meals,1,241
2018,13046342.4,16981297.080000002,-22.28612,2.352857,Mines,1,748
2018,4622037.69,4469363.25,-5.6305103,2.92194,Other,3,294
2018,2542101.12,1837135.1,38.986477,3.9972177,Rtail,1,340
2018,7177284.3,4680347.12,52.434208,2.853546,Servs,1,569
2018,21978530.08,25719497.23,-9.74076,2.008832,Fin,3,8
2018,155666320.0,170286400.0,-4.812168,1.4118298,Food,3,371
2018,39725918.75,51739337.65000001,-12.2950115,1.9390093,Oil,1,291
2018,9706978.65,10894794.46,-8.06963,2.0378609,Trans,1,208
2018,6471790.05,5575610.0,18.563526,1.5229295,Servs,1,348
2018,2199670.66,3167653.5,-27.612171,2.972081,Food,3,79
2018,20066327.5,19636029.4,4.193639,1.4179735,Util,1,109
2018,42830712.0,31099927.68,43.38037,1.7442495,Hlth,1,201
2018,23007003.82,20362025.200000007,18.662497,1.8688024,Servs,1,389
2018,15373736.1,11718380.72,26.568815,3.0712967,Other,3,295
2018,6966743.810000001,6224701.0,6.9779706,3.4460578,Rtail,1,567
2018,780362310.0,659085700.0,20.799162,1.8419932,Servs,3,7
2018,8586240.0,4443193.6000000015,73.40997,2.7258842,Servs,1,390
2018,5705363.199999997,3663185.2,54.28298,2.9217904,Other,3,312
2018,5567304.32,4538626.34,12.2207365,4.108053,Meals,1,693
2018,138673673.04,154390745.29999998,-0.97987574,2.2590039,Hlth,1,346
2018,14319468.9,13667979.84,1.0792232,1.9083155,Fin,1,170
2018,1691289.88,3447532.77,-51.503254,2.752456,Cnstr,1,131
2018,2189060.03,3087518.4000000013,-29.72051,2.7567723,Servs,1,207
2018,6013724.199999997,5794237.68,0.9769777,2.5916104,Other,3,722
2018,2527257.6,2580812.0,-2.1684496,2.0877717,Chems,3,24
2018,1035361.25,945592.2,10.552105,2.1439967,FabPr,1,147
2018,6501197.36,5596382.12,8.039407,2.4166503,Servs,1,257
2018,37940619.53,37472840.8,5.311473,1.1575414,Other,1,127
2018,44875818.0,82164402.12,-38.58793,2.1518626,Chems,3,96
2018,961259.52,2279765.75,-57.251194,3.3904414,Cnstr,3,35
2018,5943277.5299999975,5246848.29,12.496016,1.9761324,Food,1,258
2018,1376581.05,1123722.0,20.705866,4.2790866,Other,3,366
2018,4611889.26,3180931.74,40.16014,3.511375,Servs,1,727
2018,2992858.26,1466458.84,72.527016,4.6137276,Other,3,336
2018,41097778.54000001,35104227.52,19.453144,1.640118,Hlth,1,357
2018,124092.9,194649.0,-44.19386,3.36,Fin,2,705
2018,7018246.59,5514418.92,40.679314,3.0181592,Other,3,239
2018,3052985.58,3737849.41,-16.494562,2.5513723,Whlsl,3,12
2018,23070777.65,11954743.45,3.9154081,1.8378586,Fin,1,280
2018,11971085.0,10631970.0,17.961637,1.9271052,Other,3,403
2018,10991201.76,12992265.08,-15.418017,2.09772,Other,3,695
2018,1146002.78,1236764.0499999998,-5.534004,2.1689785,Fin,2,23
2018,288703299.33,354391545.84,-15.101488,1.5490706,Oil,1,123
2018,11176968.88,6440728.08,61.57539,2.799552,Servs,1,468
2018,2882168.96,3387162.06,-22.926603,3.2748408,Other,3,563
2018,21293726.0,25551286.86,-9.3932705,1.8658147,Meals,1,493
2018,961634.8,1291353.36,-25.484211,3.155509,Beer,3,148
2018,2710052.8000000003,3274592.62,-15.492866,2.0479226,Servs,1,447
2018,2684478.09,2791382.42,-19.345676,4.1682553,Other,3,424
2018,2470950.24,2796206.56,-4.629447,2.211213,Rtail,1,433
2018,1791675.45,2109055.5500000003,-14.122077,1.9442644,Cnstr,1,42
2018,1974304.8,1917382.5,2.7253206,2.0993702,Fin,3,17
2018,23815454.96,26340361.55,-6.619053,1.4870894,Util,1,88
2018,1304421.4400000002,2493125.75,-46.059177,2.6717558,BusEq,3,91
2018,244369.84000000003,282169.5,-12.910723,1.3782169,Fin,3,80
2018,28844825.0,27222588.0,12.086834,1.5382593,Servs,3,49
2018,2915981.1,2290791.3000000003,25.930967,3.0711417,Other,3,327
2018,3721503.85,2831002.18,27.839264,3.0021834,Other,3,639
2018,4190863.04,3062413.2,31.961945,2.3346057,Fin,1,108
2018,4181069.6,3829593.24,11.396186,1.6469039,Util,1,502
2018,5653652.76,3142418.4,70.33044,3.496898,Telcm,1,445
2018,1592325.0,2694753.46,-40.586075,2.8838856,Cnstr,1,797
2018,1118952.45,1053746.46,2.855073,1.988152,Fin,3,90
2018,518439.24,545274.38,-4.768269,3.6657596,Games,3,116
2018,2374034.67,3286216.98,-28.510708,4.795755,Other,3,766
2018,2662456.0,2380728.0,16.647015,2.4786072,Servs,1,134
2018,40767294.54,32225423.76,-8.189629,2.458918,Oil,1,220
2018,1172766.84,2045517.12,-43.67021,3.356695,Hlth,1,707
2018,3756374.56,3629369.2500000005,1.7383487,1.6254877,Util,1,212
2018,11990651.52,12248720.0,-1.0169779,1.7621987,FabPr,1,237
2018,1400607.77,1910038.0,-31.743862,2.3418386,Other,3,378
2018,10973107.64,6590451.0,30.508648,2.3338735,BusEq,1,777
2018,5293811.32,5826605.19,1.5458503,1.8580515,Other,3,228
2018,1806074.4,1425172.17,27.385452,2.086737,Hlth,3,95
2018,6103857.6000000015,4857546.51,26.870716,1.8627607,Hlth,1,48
2018,71779938.7,65621873.24,15.624516,2.1246657,Oil,1,395
2018,785404.96,1069694.76,-25.869942,3.1537452,Autos,1,324
2018,759963.0499999998,586715.25,11.8197,2.925373,Other,3,453
2018,719941.53,1530083.7,-52.96005,2.7610433,Books,3,105
2018,1810470.0,1782050.0,2.6609766,1.9872814,Txtls,1,113
2018,490921.2,319247.5,62.261475,2.822273,Telcm,3,71
2018,1564623.3,1366488.2999999998,8.960496,3.4482758,ElcEq,3,530
2018,5970636.0,9594288.0,-32.160877,1.7763541,Other,3,673
2018,5197236.12,5129343.5200000005,8.517961,2.4296675,Other,3,166
2018,48483.77,130152.0,-63.615463,2.173913,Fin,2,442
2018,3774294.98,6012947.96,-36.10041,1.7508208,FabPr,1,14
2018,1387575.36,1114146.0,24.979578,2.393617,Other,3,211
2018,17006711.52,22404546.79,-22.184042,1.9379845,BusEq,3,62
2018,4029073.0000000005,4842241.8,-14.764561,2.070723,Games,1,57
2018,3184326.27,2480144.4,27.67238,3.403086,Other,3,559
2018,1583071.36,2040617.04,-15.8760605,2.1782842,BusEq,3,3
2018,560595.0599999999,793180.16,-24.578196,3.7859337,Other,3,523
