RET,date_m,year,notPERMNO
0.067501,201901,2019,1
0.006025,201902,2019,1
0.026146,201903,2019,1
-0.010451,201904,2019,1
0.023349,201905,2019,1
0.00373,201906,2019,1
0.154644,201907,2019,1
0.038851,201908,2019,1
-0.002901,201909,2019,1
-0.006458,201910,2019,1
-0.030195,201911,2019,1
-0.000838,201912,2019,1
-0.100016,202001,2020,1
-0.03027,202002,2020,1
-0.244031,202003,2020,1
0.049835,202004,2020,1
0.012595,202005,2020,1
-0.007191,202006,2020,1
-0.031464,202007,2020,1
0.104118,202008,2020,1
-0.036668,202009,2020,1
0.039727,202010,2020,1
0.072435,202011,2020,1
0.072598,202012,2020,1
-0.081757,201901,2019,2
0.065356,201902,2019,2
-0.048677,201903,2019,2
0.034112,201904,2019,2
0.626751,201905,2019,2
0.805555,201906,2019,2
-0.378461,201907,2019,2
0.559406,201908,2019,2
-0.047619,201909,2019,2
0.066667,201910,2019,2
0.09375,201911,2019,2
-0.035714,201912,2019,2
0.607407,202001,2020,2
0.225806,202002,2020,2
-0.052632,202003,2020,2
0.448413,202004,2020,2
-0.016438,202005,2020,2
0.699164,202006,2020,2
-0.306557,202007,2020,2
-0.082742,202008,2020,2
0.10567,202009,2020,2
-0.058275,202010,2020,2
0.143564,202011,2020,2
0.125541,202012,2020,2
0.098669,201901,2019,3
0.100499,201902,2019,3
-0.013115,201903,2019,3
-0.012633,201904,2019,3
-0.176969,201905,2019,3
0.178478,201906,2019,3
0.022957,201907,2019,3
-0.041869,201908,2019,3
0.092641,201909,2019,3
0.182851,201910,2019,3
0.026508,201911,2019,3
0.013702,201912,2019,3
-0.075643,202001,2020,3
-0.06707,202002,2020,3
-0.177694,202003,2020,3
0.14901,202004,2020,3
0.024406,202005,2020,3
0.098723,202006,2020,3
0.052863,202007,2020,3
0.02396,202008,2020,3
-0.071513,202009,2020,3
-0.015432,202010,2020,3
0.074346,202011,2020,3
0.046848,202012,2020,3
0.009366,201901,2019,4
0.102325,201902,2019,4
-0.035865,201903,2019,4
0.090909,201904,2019,4
-0.029472,201905,2019,4
-0.107853,201906,2019,4
0.071429,201907,2019,4
0.035556,201908,2019,4
0.01073,201909,2019,4
-0.032258,201910,2019,4
-0.014444,201911,2019,4
0.054857,201912,2019,4
-0.098592,202001,2020,4
-0.064904,202002,2020,4
-0.373368,202003,2020,4
-0.052083,202004,2020,4
-0.057143,202005,2020,4
-0.009324,202006,2020,4
-0.218824,202007,2020,4
-0.018072,202008,2020,4
-0.177914,202009,2020,4
0.0,202010,2020,4
0.593284,202011,2020,4
-0.051522,202012,2020,4
0.107124,201901,2019,5
-0.036225,201902,2019,5
-0.057864,201903,2019,5
0.043045,201904,2019,5
-0.060896,201905,2019,5
0.026259,201906,2019,5
-0.099217,201907,2019,5
0.094493,201908,2019,5
0.079449,201909,2019,5
0.109421,201910,2019,5
0.158779,201911,2019,5
0.053817,201912,2019,5
-0.115176,202001,2020,5
-0.055669,202002,2020,5
-0.324664,202003,2020,5
0.178434,202004,2020,5
0.0,202005,2020,5
-0.098039,202006,2020,5
0.054348,202007,2020,5
0.13173,202008,2020,5
-0.199393,202009,2020,5
0.104298,202010,2020,5
0.298798,202011,2020,5
-0.030851,202012,2020,5
0.116722,201901,2019,6
0.037826,201902,2019,6
0.030309,201903,2019,6
0.03463,201904,2019,6
-0.085487,201905,2019,6
0.125889,201906,2019,6
-0.007548,201907,2019,6
-0.075311,201908,2019,6
0.05705,201909,2019,6
-0.005452,201910,2019,6
0.030281,201911,2019,6
-0.056288,201912,2019,6
-0.005474,202001,2020,6
-0.057007,202002,2020,6
-0.022847,202003,2020,6
0.100972,202004,2020,6
0.015103,202005,2020,6
0.027897,202006,2020,6
0.007599,202007,2020,6
0.031921,202008,2020,6
0.043341,202009,2020,6
